year,val
2022,15011180.358760882
2023,15205711.817309419
2024,15400205.566653349
2025,15594661.61410246
2026,15789079.96696513
2027,15983460.632548312
2028,16177803.618157545
2029,16372108.931096954
2030,16566376.578669248
2031,16760606.568175718
2032,16954798.906916242
2033,17148953.60218928
2034,17343070.661291882
2035,17537150.09151968
2036,17731191.900166888
2037,17925196.094526313
2038,18119162.681889348
2039,18313091.66954597
2040,18506983.064784743
2041,18700836.874892816
2042,18894653.10715593
2043,19088431.76885841
2044,19282172.86728317
2045,19475876.40971171
2046,19669542.40342413
2047,19863170.8556991
2048,20056761.773813896
2049,20250315.165044375
2050,20443831.03666498
